iter	Logloss
0	0.6812792172
1	0.6711497854
2	0.6612304665
3	0.6520770224
4	0.6455538718
5	0.639030539
6	0.6328508896
7	0.6268030017
8	0.6207717859
9	0.6158203857
10	0.6110712499
11	0.6059654023
12	0.601795106
13	0.597742462
14	0.593697555
15	0.5898137245
16	0.5860982454
17	0.5827750234
18	0.579918453
19	0.576677722
20	0.5732348606
21	0.5703170999
22	0.5674307696
23	0.5645737919
24	0.5619721503
25	0.5592534221
26	0.5565734927
27	0.5539725589
28	0.551419863
29	0.5492568459
30	0.5465674573
31	0.5445063529
32	0.5425762712
33	0.5407016311
34	0.5387012917
35	0.5366542405
36	0.5347722198
37	0.5329713434
38	0.5309112192
39	0.529344967
40	0.5269640085
41	0.5253221062
42	0.5236668098
43	0.5219679566
44	0.5199875345
45	0.5177099771
46	0.5161750493
47	0.5148451269
48	0.5134164945
49	0.5119226466
50	0.5105582268
51	0.5093483937
52	0.5077132073
53	0.5062538857
54	0.5049011439
55	0.5035861983
56	0.5025594567
57	0.5013826131
58	0.4998561973
59	0.4987326555
60	0.4974392714
61	0.496190567
62	0.4949188401
63	0.4938292042
64	0.4926378741
65	0.4914153674
66	0.4899804835
67	0.4888647195
68	0.4877796361
69	0.4866735716
70	0.4855871987
71	0.4844668771
72	0.4835190291
73	0.4824065911
74	0.4814181517
75	0.480681223
76	0.479681006
77	0.4786628491
78	0.4778510347
79	0.4767916575
80	0.4759046421
81	0.4745861746
82	0.4737738709
83	0.4728691141
84	0.471995539
85	0.4711649982
86	0.4702340282
87	0.4692860969
88	0.4685367629
89	0.4675654354
90	0.46596292
91	0.4649831616
92	0.4642063766
93	0.4632366455
94	0.4625045754
95	0.4616969526
96	0.4608155709
97	0.4600510816
98	0.4592692625
99	0.4584314737
