iter	Passed	Remaining
0	395	39177
1	793	38897
2	1215	39294
3	1602	38457
4	1972	37470
5	2373	37191
6	2775	36878
7	3147	36191
8	3515	35543
9	3922	35298
10	4309	34868
11	4716	34587
12	5086	34037
13	5452	33496
14	5818	32971
15	6237	32744
16	6609	32269
17	7000	31890
18	7390	31507
19	7777	31111
20	8138	30615
21	8491	30106
22	8840	29596
23	9251	29295
24	9607	28823
25	9958	28343
26	10351	27987
27	10728	27588
28	11099	27175
29	11497	26828
30	11848	26371
31	12261	26056
32	12633	25650
33	13008	25251
34	13408	24900
35	13839	24604
36	14243	24251
37	14841	24215
38	15319	23961
39	15711	23567
40	16144	23232
41	16540	22842
42	16909	22414
43	17338	22067
44	17831	21794
45	18303	21487
46	18725	21115
47	19104	20697
48	19480	20275
49	20084	20084
50	20486	19683
51	20871	19266
52	21252	18846
53	21620	18417
54	21980	17983
55	22358	17567
56	22708	17130
57	23054	16694
58	23402	16263
59	23749	15833
60	24099	15407
61	24452	14987
62	24803	14567
63	25156	14150
64	25515	13739
65	25868	13326
66	26240	12924
67	26603	12519
68	26974	12119
69	27359	11725
70	27755	11336
71	28242	10983
72	28727	10625
73	29172	10249
74	29583	9861
75	30008	9476
76	30437	9091
77	30852	8702
78	31275	8313
79	31729	7932
80	32123	7535
81	32524	7139
82	32930	6744
83	33348	6352
84	33765	5958
85	34173	5563
86	34573	5166
87	34949	4765
88	35333	4367
89	35747	3971
90	36176	3577
91	36749	3195
92	37336	2810
93	37815	2413
94	38351	2018
95	38814	1617
96	39255	1214
97	39753	811
98	40257	406
99	40809	0
